,file,WER,S,D,I,VAD
0,MO_F_AV01_2016_04_08_ModuleDescription_description.wav,8.163265,13,6,1,rvad
1,MO_F_AV06_2016_04_13_ModuleDescription_description.wav,62.295082,21,14,3,rvad
2,MO_F_AV09_2016_04_15_ModuleDescription_description.wav,29.433962,44,32,2,rvad
3,MO_F_AV14_2016_04_18_ModuleDescription_description.wav,64.0625,24,3,14,rvad
4,MO_F_AV17_2016_04_18_ModuleDescription_description.wav,14.583333,7,6,1,rvad
5,MO_F_AV21_2016_04_18_ModuleDescription_description.wav,25.714286,16,7,13,rvad
6,MO_F_AV23_2016_04_19_ModuleDescription_description.wav,25.301205,23,16,3,rvad
7,MO_F_AV25_2016_05_14_ModuleDescription_description.wav,10.569106,11,1,1,rvad
8,MO_F_AV26_2016_05_14_ModuleDescription_description.wav,17.127072,21,10,0,rvad
9,MO_F_AV27_2016_05_14_ModuleDescription_description.wav,27.184466,28,25,3,rvad
10,MO_F_AV36_2016_06_07_ModuleDescription_description.wav,26.862745,130,134,10,rvad
11,MO_F_ER02_2016_04_04_ModuleDescription_description.wav,32.55814,6,1,7,rvad
12,MO_F_ER02_2016_06_08_ModuleDescription_description.wav,48.571429,8,6,3,rvad
13,MO_F_ER06_2016_04_06_ModuleDescription_description.wav,52.083333,12,13,0,rvad
14,MO_F_ER08_2016_04_07_ModuleDescription_description.wav,23.27044,23,11,3,rvad
15,MO_F_ER08_2016_06_08_ModuleDescription_description.wav,24.489796,19,17,0,rvad
16,MO_F_ER10_2016_04_07_ModuleDescription_description.wav,19.796954,19,15,5,rvad
17,MO_F_ER16_2016_04_08_ModuleDescription_description.wav,23.75,7,11,1,rvad
18,MO_F_ER18_2016_04_08_ModuleDescription_description.wav,6.622517,13,4,3,rvad
19,MO_F_ER19_2016_04_10_ModuleDescription_description.wav,12.162162,5,2,2,rvad
20,MO_F_ER22_2016_04_12_ModuleDescription_description.wav,52.03252,31,32,1,rvad
21,MO_F_ER26_2016_04_18_ModuleDescription_description.wav,27.210884,17,23,0,rvad
22,MO_F_SD08_2016_04_22_ModuleDescription_description.wav,19.685039,17,5,3,rvad
23,MO_F_SD12_2016_04_25_ModuleDescription_description.wav,25.663717,72,50,23,rvad
24,MO_F_SD18_2016_05_02_ModuleDescription_description.wav,10.714286,13,4,1,rvad
25,MO_F_SD19_2016_05_02_ModuleDescription_description.wav,25.287356,9,13,0,rvad
26,MO_F_SD22_2016_05_03_ModuleDescription_description.wav,24.096386,14,3,3,rvad
27,MO_F_SD24_2016_05_03_ModuleDescription_description.wav,14.516129,10,14,3,rvad
28,MO_F_SD28_2016_05_20_ModuleDescription_description.wav,26.88172,22,26,2,rvad
29,MO_F_SD32_2016_06_16_ModuleDescription_description.wav,22.59887,23,10,7,rvad
30,MO_F_SD33_2016_06_22_ModuleDescription_description.wav,34.393064,109,101,28,rvad
31,MO_F_SD35_2016_06_23_ModuleDescription_description.wav,34.351145,46,42,2,rvad
32,MO_F_SD38_2016_06_28_ModuleDescription_description.wav,20.689655,17,24,1,rvad
33,MO_H_AV10_2016_04_15_ModuleDescription_description.wav,12.765957,7,3,2,rvad
34,MO_H_AV18_2016_04_18_ModuleDescription_description.wav,30.379747,12,10,2,rvad
35,MO_H_AV19_2016_04_18_ModuleDescription_description.wav,40.277778,15,6,8,rvad
36,MO_H_AV22_2016_04_19_ModuleDescription_description.wav,21.794872,21,11,2,rvad
37,MO_H_AV22_2016_06_09_ModuleDescription_description.wav,12.334802,19,6,3,rvad
38,MO_H_AV24_2016_05_14_ModuleDescription_description.wav,5.882353,3,2,0,rvad
39,MO_H_AV30_2016_06_05_ModuleDescription_description.wav,19.285714,10,14,3,rvad
40,MO_H_AV33_2016_06_06_ModuleDescription_description.wav,22.727273,20,5,5,rvad
41,MO_H_AV37_2016_06_08_ModuleDescription_description.wav,26.126126,12,15,2,rvad
42,MO_H_AV38_2016_06_10_ModuleDescription_description.wav,29.333333,16,5,1,rvad
43,MO_H_ER09_2016_04_07_ModuleDescription_description.wav,20.769231,15,8,4,rvad
44,MO_H_ER09_2016_06_08_ModuleDescription_description.wav,7.8125,4,5,1,rvad
45,MO_H_ER17_2016_04_08_ModuleDescription_description.wav,25.786164,19,18,4,rvad
46,MO_H_ER23_2016_04_14_ModuleDescription_description.wav,24.390244,19,18,3,rvad
47,MO_H_ER24_2016_04_15_ModuleDescription_description.wav,28.125,28,11,6,rvad
48,MO_H_ER27_2016_04_18_ModuleDescription_description.wav,11.764706,8,8,2,rvad
49,MO_H_ER40_2017_01_24_ModuleDescription_description.wav,23.214286,5,7,1,rvad
50,MO_H_ER40_2017_05_23_ModuleDescription_description.wav,26.865672,14,18,4,rvad
51,MO_H_ER41_2017_01_24_ModuleDescription_description.wav,13.375796,14,1,6,rvad
52,MO_H_ER41_2017_05_29_ModuleDescription_description.wav,11.650485,10,2,0,rvad
53,MO_H_ER43_2017_01_24_ModuleDescription_description.wav,22.123894,14,9,2,rvad
54,MO_H_ER43_2017_05_23_ModuleDescription_description.wav,31.147541,33,18,6,rvad
55,MO_H_ER47_2017_01_27_ModuleDescription_description.wav,37.320574,26,50,2,rvad
56,MO_H_ER47_2017_03_31_ModuleDescription_description.wav,35.682819,27,34,20,rvad
57,MO_H_ER48_2017_01_28_ModuleDescription_description.wav,20.512821,11,10,3,rvad
58,MO_H_ER48_2017_04_08_ModuleDescription_description.wav,18.75,7,10,4,rvad
59,MO_H_ER49_2017_01_28_ModuleDescription_description.wav,30.30303,15,6,9,rvad
60,MO_H_ER49_2017_06_08_ModuleDescription_description.wav,31.958763,14,9,8,rvad
61,MO_H_SD07_2016_04_22_ModuleDescription_description.wav,38.888889,17,9,2,rvad
62,MO_H_SD11_2016_04_25_ModuleDescription_description.wav,18.859649,29,8,6,rvad
63,MO_H_SD13_2016_04_25_ModuleDescription_description.wav,12.536443,20,6,17,rvad
64,MO_H_SD13_2016_08_13_ModuleDescription_description.wav,13.493976,32,15,9,rvad
65,MO_H_SD25_2016_05_12_ModuleDescription_description.wav,17.622951,16,24,3,rvad
66,MO_H_SD30_2016_05_21_ModuleDescription_description.wav,25.657895,15,16,8,rvad
67,MO_H_SD36_2016_06_23_ModuleDescription_description.wav,12.587413,14,4,0,rvad
68,MO_F_AV01_2016_04_08_ModuleDescription_description.wav,10.612245,16,7,3,silero
69,MO_F_AV06_2016_04_13_ModuleDescription_description.wav,60.655738,18,15,4,silero
70,MO_F_AV09_2016_04_15_ModuleDescription_description.wav,29.811321,42,37,0,silero
71,MO_F_AV14_2016_04_18_ModuleDescription_description.wav,56.25,20,5,11,silero
72,MO_F_AV17_2016_04_18_ModuleDescription_description.wav,17.708333,8,9,0,silero
73,MO_F_AV21_2016_04_18_ModuleDescription_description.wav,26.428571,20,9,8,silero
74,MO_F_AV23_2016_04_19_ModuleDescription_description.wav,25.903614,22,16,5,silero
75,MO_F_AV25_2016_05_14_ModuleDescription_description.wav,13.00813,13,1,2,silero
76,MO_F_AV26_2016_05_14_ModuleDescription_description.wav,24.861878,28,16,1,silero
77,MO_F_AV27_2016_05_14_ModuleDescription_description.wav,21.84466,28,14,3,silero
78,MO_F_AV36_2016_06_07_ModuleDescription_description.wav,32.156863,163,135,30,silero
79,MO_F_ER02_2016_04_04_ModuleDescription_description.wav,25.581395,6,1,4,silero
80,MO_F_ER02_2016_06_08_ModuleDescription_description.wav,42.857143,8,6,1,silero
81,MO_F_ER06_2016_04_06_ModuleDescription_description.wav,62.5,17,10,3,silero
82,MO_F_ER08_2016_04_07_ModuleDescription_description.wav,23.899371,21,15,2,silero
83,MO_F_ER08_2016_06_08_ModuleDescription_description.wav,33.333333,34,13,2,silero
84,MO_F_ER10_2016_04_07_ModuleDescription_description.wav,13.705584,16,9,2,silero
85,MO_F_ER16_2016_04_08_ModuleDescription_description.wav,26.25,10,9,2,silero
86,MO_F_ER18_2016_04_08_ModuleDescription_description.wav,7.94702,12,6,6,silero
87,MO_F_ER19_2016_04_10_ModuleDescription_description.wav,12.162162,6,2,1,silero
88,MO_F_ER22_2016_04_12_ModuleDescription_description.wav,50.406504,32,28,2,silero
89,MO_F_ER26_2016_04_18_ModuleDescription_description.wav,27.891156,17,23,1,silero
90,MO_F_SD08_2016_04_22_ModuleDescription_description.wav,18.897638,11,5,8,silero
91,MO_F_SD12_2016_04_25_ModuleDescription_description.wav,22.123894,50,52,23,silero
92,MO_F_SD18_2016_05_02_ModuleDescription_description.wav,13.095238,13,8,1,silero
93,MO_F_SD19_2016_05_02_ModuleDescription_description.wav,26.436782,9,14,0,silero
94,MO_F_SD22_2016_05_03_ModuleDescription_description.wav,19.277108,11,2,3,silero
95,MO_F_SD24_2016_05_03_ModuleDescription_description.wav,13.978495,13,11,2,silero
96,MO_F_SD28_2016_05_20_ModuleDescription_description.wav,27.419355,25,25,1,silero
97,MO_F_SD32_2016_06_16_ModuleDescription_description.wav,23.163842,23,10,8,silero
98,MO_F_SD33_2016_06_22_ModuleDescription_description.wav,36.849711,130,100,25,silero
99,MO_F_SD35_2016_06_23_ModuleDescription_description.wav,33.969466,44,43,2,silero
100,MO_F_SD38_2016_06_28_ModuleDescription_description.wav,16.256158,18,15,0,silero
101,MO_H_AV10_2016_04_15_ModuleDescription_description.wav,12.765957,7,3,2,silero
102,MO_H_AV18_2016_04_18_ModuleDescription_description.wav,22.78481,9,6,3,silero
103,MO_H_AV19_2016_04_18_ModuleDescription_description.wav,31.944444,10,7,6,silero
104,MO_H_AV22_2016_04_19_ModuleDescription_description.wav,16.025641,16,7,2,silero
105,MO_H_AV22_2016_06_09_ModuleDescription_description.wav,11.894273,19,5,3,silero
106,MO_H_AV24_2016_05_14_ModuleDescription_description.wav,3.529412,1,2,0,silero
107,MO_H_AV30_2016_06_05_ModuleDescription_description.wav,15.714286,11,8,3,silero
108,MO_H_AV33_2016_06_06_ModuleDescription_description.wav,20.454545,14,8,5,silero
109,MO_H_AV37_2016_06_08_ModuleDescription_description.wav,22.522523,8,14,3,silero
110,MO_H_AV38_2016_06_10_ModuleDescription_description.wav,29.333333,15,6,1,silero
111,MO_H_ER09_2016_04_07_ModuleDescription_description.wav,21.538462,18,6,4,silero
112,MO_H_ER09_2016_06_08_ModuleDescription_description.wav,13.28125,7,8,2,silero
113,MO_H_ER17_2016_04_08_ModuleDescription_description.wav,24.528302,20,14,5,silero
114,MO_H_ER23_2016_04_14_ModuleDescription_description.wav,21.95122,10,24,2,silero
115,MO_H_ER24_2016_04_15_ModuleDescription_description.wav,30.625,23,14,12,silero
116,MO_H_ER27_2016_04_18_ModuleDescription_description.wav,8.496732,6,5,2,silero
117,MO_H_ER40_2017_01_24_ModuleDescription_description.wav,21.428571,6,4,2,silero
118,MO_H_ER40_2017_05_23_ModuleDescription_description.wav,20.895522,15,12,1,silero
119,MO_H_ER41_2017_01_24_ModuleDescription_description.wav,7.006369,6,2,3,silero
120,MO_H_ER41_2017_05_29_ModuleDescription_description.wav,11.650485,11,1,0,silero
121,MO_H_ER43_2017_01_24_ModuleDescription_description.wav,20.353982,14,7,2,silero
122,MO_H_ER43_2017_05_23_ModuleDescription_description.wav,30.054645,33,18,4,silero
123,MO_H_ER47_2017_01_27_ModuleDescription_description.wav,31.100478,27,33,5,silero
124,MO_H_ER47_2017_03_31_ModuleDescription_description.wav,39.207048,29,35,25,silero
125,MO_H_ER48_2017_01_28_ModuleDescription_description.wav,23.076923,13,9,5,silero
126,MO_H_ER48_2017_04_08_ModuleDescription_description.wav,21.428571,13,8,3,silero
127,MO_H_ER49_2017_01_28_ModuleDescription_description.wav,26.262626,12,5,9,silero
128,MO_H_ER49_2017_06_08_ModuleDescription_description.wav,30.927835,12,10,8,silero
129,MO_H_SD07_2016_04_22_ModuleDescription_description.wav,38.888889,15,11,2,silero
130,MO_H_SD11_2016_04_25_ModuleDescription_description.wav,17.105263,25,10,4,silero
131,MO_H_SD13_2016_04_25_ModuleDescription_description.wav,12.244898,18,4,20,silero
132,MO_H_SD13_2016_08_13_ModuleDescription_description.wav,15.903614,40,16,10,silero
133,MO_H_SD25_2016_05_12_ModuleDescription_description.wav,26.229508,37,20,7,silero
134,MO_H_SD30_2016_05_21_ModuleDescription_description.wav,30.263158,14,16,16,silero
135,MO_H_SD36_2016_06_23_ModuleDescription_description.wav,18.881119,16,9,2,silero
